x,y,v
-10.053843,1.773940,2.719
-10.103679,1.769691,2.737
-10.153488,1.765142,2.753
-10.203270,1.760300,2.743
-10.253023,1.755175,2.733
-10.302748,1.749775,2.722
-10.352442,1.744108,2.712
-10.402107,1.738182,2.702
-10.451741,1.732007,2.691
-10.501344,1.725591,2.681
-10.550917,1.718942,2.670
-10.600459,1.712069,2.660
-10.649971,1.704980,2.649
-10.699453,1.697683,2.638
-10.748904,1.690186,2.628
-10.798327,1.682498,2.617
-10.847720,1.674629,2.606
-10.897086,1.666587,2.595
-10.946425,1.658379,2.585
-10.995737,1.650015,2.574
-11.045024,1.641502,2.563
-11.094287,1.632851,2.552
-11.143527,1.624067,2.541
-11.192744,1.615160,2.530
-11.241940,1.606139,2.518
-11.291118,1.597015,2.507
-11.340277,1.587795,2.496
-11.389420,1.578488,2.485
-11.438549,1.569101,2.473
-11.487663,1.559644,2.462
-11.536766,1.550127,2.450
-11.585859,1.540558,2.439
-11.634943,1.530946,2.427
-11.684021,1.521302,2.416
-11.733095,1.511634,2.404
-11.782165,1.501948,2.392
-11.831231,1.492247,2.381
-11.880297,1.482539,2.369
-11.929364,1.472837,2.357
-11.978433,1.463146,2.345
-12.027506,1.453476,2.333
-12.076584,1.443836,2.321
-12.125671,1.434235,2.309
-12.174767,1.424684,2.296
-12.223876,1.415195,2.284
-12.272999,1.405781,2.272
-12.322138,1.396455,2.259
-12.371297,1.387231,2.247
-12.420477,1.378121,2.234
-12.469681,1.369139,2.222
-12.518910,1.360300,2.209
-12.568167,1.351617,2.196
-12.617454,1.343105,2.183
-12.666773,1.334778,2.170
-12.716125,1.326652,2.157
-12.765513,1.318742,2.144
-12.814937,1.311065,2.131
-12.864399,1.303639,2.118
-12.913901,1.296481,2.105
-12.963443,1.289611,2.091
-13.013028,1.283050,2.078
-13.062656,1.276824,2.064
-13.112327,1.270956,2.050
-13.162042,1.265471,2.037
-13.211801,1.260396,2.023
-13.261602,1.255759,2.009
-13.311444,1.251589,1.995
-13.361326,1.247911,1.981
-13.411242,1.244751,1.966
-13.461191,1.242143,1.952
-13.511167,1.240124,1.937
-13.561163,1.238693,1.923
-13.611173,1.237851,1.908
-13.661189,1.237609,1.893
-13.711204,1.237975,1.878
-13.761211,1.238967,1.863
-13.811202,1.240589,1.850
-13.861168,1.242831,1.838
-13.911101,1.245729,1.827
-13.960993,1.249256,1.817
-14.010836,1.253416,1.808
-14.060623,1.258211,1.798
-14.110343,1.263646,1.789
-14.159989,1.269726,1.779
